tau_multiplier,tau,model,final_disagreement,max_disagreement,convergence_time,final_average
0,0,full_state_delay,3.3976497887e-15,6.35085296109,6.36,0.166666666667
0,0,neighbor_only_delay,3.37204543144e-15,6.35085296109,6.36,0.166666666667
0.25,0.0981747704247,full_state_delay,2.44091312339e-15,6.35085296109,5.69,0.166666666667
0.25,0.0981747704247,neighbor_only_delay,9.06151236207e-14,6.35085296109,7.03,0.166666666667
0.75,0.294524311274,full_state_delay,2.81881571347e-11,6.35085296109,6.42,0.166666666667
0.75,0.294524311274,neighbor_only_delay,1.78838051688e-11,6.35085296109,8.41,0.166666666667
0.95,0.373064127614,full_state_delay,0.0321954943105,6.35085296109,NaN,0.166666666667
0.95,0.373064127614,neighbor_only_delay,1.11525433291e-10,6.35085296109,9.02,0.166666666667
1.05,0.412334035784,full_state_delay,24.6802008988,24.707173322,NaN,0.166666666667
1.05,0.412334035784,neighbor_only_delay,2.57865423357e-10,6.35085296109,9.33,0.166666666667
