trial,edge_probability,num_edges,lambda_2,lambda_max,tau_crit,tau_used,tau_over_taucrit,final_disagreement,convergence_time
1,0.45,6,0.485863070665,5.08613019765,0.308839189276,0.154419594638,0.5,3.03417076159e-06,9.64
2,0.45,8,1.38196601125,5.30277563773,0.296221532666,0.148110766333,0.5,1.12161376582e-15,2.4
3,0.45,6,0.413094015707,4.3927562472,0.357587864748,0.178793932374,0.5,6.20397061319e-05,13.68
4,0.45,8,1.10878015129,5.2784136095,0.297588715664,0.148794357832,0.5,2.45774015664e-15,3.88
5,0.45,9,1.69722436227,5.30277563773,0.296221532666,0.148110766333,0.5,8.93367432222e-16,2.06
6,0.45,9,1.38196601125,6,0.261799387799,0.1308996939,0.5,1.19316696857e-15,3.22
7,0.45,8,1,6,0.261799387799,0.1308996939,0.5,8.9164111673e-16,1.79
8,0.45,7,0.697224362268,5.11490754148,0.307101607225,0.153550803613,0.5,9.09173155796e-09,7.35
9,0.45,6,0.438447187191,4.56155281281,0.344355615567,0.172177807783,0.5,1.93962922661e-06,7.07
10,0.45,8,0.485863070665,5.08613019765,0.308839189276,0.154419594638,0.5,6.62202350834e-06,11.12
11,0.45,10,1.69722436227,5.61803398875,0.279598936201,0.1397994681,0.5,9.74612050291e-16,2.63
12,0.45,7,0.881716134423,5.26881469033,0.298130873663,0.149065436831,0.5,1.09281876203e-11,5.07
13,0.45,6,0.631350628113,5.10709637673,0.307571310765,0.153785655383,0.5,2.65021882202e-08,6.77
14,0.45,8,0.731185309672,5.11828386558,0.306899024761,0.15344951238,0.5,3.91244338658e-09,7.27
15,0.45,5,0.267949192431,3.73205080757,0.420893607238,0.210446803619,0.5,0.00335075310509,21.17
16,0.45,8,0.731185309672,5.11828386558,0.306899024761,0.15344951238,0.5,1.37126480493e-09,6.01
17,0.45,5,0.324869129433,4.21431974338,0.372728322113,0.186364161056,0.5,0.000732694986364,17.49
18,0.45,8,0.892903623275,5.36864937189,0.292586872039,0.14629343602,0.5,1.06839345728e-11,5.35
19,0.45,8,0.913869802349,5.51413692934,0.284867123709,0.142433561854,0.5,7.91501416657e-12,5.36
20,0.45,6,0.697224362268,4.30277563773,0.365065822401,0.1825329112,0.5,5.30069227527e-09,7.16
21,0.45,8,1.38196601125,5.30277563773,0.296221532666,0.148110766333,0.5,1.34550144843e-15,3.23
22,0.45,8,0.7639320225,5.2360679775,0.299995403716,0.149997701858,0.5,1.12503380685e-09,6.72
23,0.45,8,0.885092458523,5.30277563773,0.296221532666,0.148110766333,0.5,8.89738526593e-12,4.96
24,0.45,7,0.485863070665,5.08613019765,0.308839189276,0.154419594638,0.5,1.01427420383e-05,11.93
25,0.45,7,0.585786437627,4.73205080757,0.331948322339,0.165974161169,0.5,9.70885235548e-08,7.44
26,0.45,9,1.69722436227,5.30277563773,0.296221532666,0.148110766333,0.5,8.75951191474e-16,2.42
27,0.45,7,0.913869802349,5.51413692934,0.284867123709,0.142433561854,0.5,1.31483032319e-11,5.83
28,0.45,10,1,6,0.261799387799,0.1308996939,0.5,4.56500794626e-13,4.68
29,0.45,9,1.6072437528,5.58690598429,0.281156749588,0.140578374794,0.5,8.881784197e-16,1.95
30,0.45,7,1,4.41421356237,0.355849644472,0.177924822236,0.5,2.304359758e-14,3.79
31,0.45,9,0.892903623275,5.36864937189,0.292586872039,0.14629343602,0.5,9.3963551214e-12,5.23
32,0.45,6,0.485863070665,5.08613019765,0.308839189276,0.154419594638,0.5,2.87405566424e-06,9.54
33,0.45,9,1,6,0.261799387799,0.1308996939,0.5,6.08717380071e-13,4.92
34,0.45,7,0.697224362268,5.11490754148,0.307101607225,0.153550803613,0.5,1.89068024626e-09,5.4
35,0.45,9,1.6072437528,5.58690598429,0.281156749588,0.140578374794,0.5,9.71048557371e-16,1.99
36,0.45,10,1,6,0.261799387799,0.1308996939,0.5,6.0868634444e-13,4.92
37,0.45,8,0.7639320225,5.2360679775,0.299995403716,0.149997701858,0.5,1.17567751174e-09,6.77
38,0.45,8,0.7639320225,5.2360679775,0.299995403716,0.149997701858,0.5,8.44417460286e-10,6.39
39,0.45,10,1,6,0.261799387799,0.1308996939,0.5,7.82507179645e-13,5.14
40,0.45,10,1.78568025662,5.67513087057,0.276785921351,0.138392960675,0.5,6.62655285439e-16,2.05
