"trial","num_edges","lambda_2","lambda_max","tau_crit","tau_used","tau_over_taucrit","final_disagreement","max_disagreement","convergence_time","path_length_mean"
"1","9","1.38196601125","6","0.261799387799","0.1308996939","0.5","3.22704266359e-09","3.40444970264","6.76","4.64266402381"
"2","8","0.7639320225","5.2360679775","0.299995403716","0.149997701858","0.5","2.30892400549e-07","3.40444970264","9.24","4.58782809742"
"3","10","1.69722436227","6","0.261799387799","0.1308996939","0.5","3.05903603961e-09","3.40444970264","6.4","4.06800209769"
"4","6","0.485863070665","5.08613019765","0.308839189276","0.154419594638","0.5","0.077797097306","3.40444970264","NaN","5.76165874318"
"5","6","1","4","0.392699081699","0.196349540849","0.5","3.85753920847e-09","3.40444970264","8.68","4.47029106942"
"6","8","1.58578643763","5","0.314159265359","0.157079632679","0.5","5.02759413741e-09","3.40444970264","6.26","4.46314432335"
"7","6","0.438447187191","4.56155281281","0.344355615567","0.172177807783","0.5","0.0990817776893","3.40444970264","NaN","5.3788589036"
"8","7","0.721586390504","4.89121984871","0.321146130287","0.160573065143","0.5","4.82655420503e-09","3.40444970264","5.94","4.1976553466"
"9","7","1","4.41421356237","0.355849644472","0.177924822236","0.5","3.07393305791e-09","3.40444970264","7.44","4.36528694962"
"10","7","0.485863070665","5.08613019765","0.308839189276","0.154419594638","0.5","0.0392066508544","3.40444970264","NaN","4.59667341359"
"11","9","1","6","0.261799387799","0.1308996939","0.5","3.1266977577e-09","3.40444970264","7.3","4.38193682554"
"12","9","1.51880569591","6","0.261799387799","0.1308996939","0.5","3.68032543937e-09","3.40444970264","5.8","4.32157434675"
"13","5","0.324869129433","4.21431974338","0.372728322113","0.186364161056","0.5","0.193388181596","3.40444970264","NaN","5.42043122555"
"14","9","2","5","0.314159265359","0.157079632679","0.5","3.9858375903e-09","3.40444970264","6.18","4.30052005439"
"15","6","0.485863070665","5.08613019765","0.308839189276","0.154419594638","0.5","0.14775174466","3.40444970264","NaN","6.03399670564"
"16","7","0.697224362268","5.11490754148","0.307101607225","0.153550803613","0.5","3.40004751487e-08","3.40444970264","11.66","4.92690452557"
"17","7","0.7639320225","5.2360679775","0.299995403716","0.149997701858","0.5","2.63874681262e-09","3.40444970264","10.64","4.35350536037"
"18","8","0.913869802349","5.51413692934","0.284867123709","0.142433561854","0.5","3.05079182033e-09","3.40444970264","7.16","4.07395210576"
"19","5","0.267949192431","3.73205080757","0.420893607238","0.210446803619","0.5","0.211531057706","3.40444970264","NaN","5.21875075847"
"20","11","2.38196601125","6","0.261799387799","0.1308996939","0.5","3.07191176942e-09","3.40444970264","6.7","4.62114517739"
