"N","complete_edge_weight","model","weighted_edge_sum","lambda_2","lambda_max","tau_crit","tau_multiplier","tau_used","final_disagreement","max_disagreement","convergence_time","practical_stable_flag","path_length_mean"
"4","0.5","full_state","3","2","2","0.785398163397","0.5","0.392699081699","0.00392586184624","3.59558707004","23","1","7.38880140781"
"4","0.5","full_state","3","2","2","0.785398163397","0.95","0.746128255228","1.35869605124","3.59558707004","NaN","0","40.9005556087"
"4","0.5","full_state","3","2","2","0.785398163397","1.1","0.863937979737","1.47117819953","3.59558707004","NaN","0","41.2678877129"
"4","0.5","full_state","3","2","2","0.785398163397","1.5","1.1780972451","1.77116219692","3.59558707004","NaN","0","41.6857116149"
"4","0.5","neighbor_only","3","2","2","0.785398163397","0.5","0.392699081699","1.51197046434e-08","3.59558707004","7.88","1","4.74114469145"
"4","0.5","neighbor_only","3","2","2","0.785398163397","0.95","0.746128255228","3.45923935941e-05","3.59558707004","13.12","1","5.62560179023"
"4","0.5","neighbor_only","3","2","2","0.785398163397","1.1","0.863937979737","0.000179682721959","3.59558707004","15.46","1","6.05017324559"
"4","0.5","neighbor_only","3","2","2","0.785398163397","1.5","1.1780972451","0.00403133774037","3.59558707004","23.62","1","7.50463694985"
"4","1","full_state","6","4","4","0.392699081699","0.5","0.196349540849","9.932315097e-06","3.59558707004","7.64","1","4.534172346"
"4","1","full_state","6","4","4","0.392699081699","0.95","0.373064127614","0.684164427306","3.59558707004","NaN","0","36.1034779246"
"4","1","full_state","6","4","4","0.392699081699","1.1","0.431968989869","0.74041009908","3.59558707004","NaN","0","38.7772311277"
"4","1","full_state","6","4","4","0.392699081699","1.5","0.589048622548","0.89040154347","3.59558707004","NaN","0","40.2763134045"
"4","1","neighbor_only","6","4","4","0.392699081699","0.5","0.196349540849","4.12043763715e-09","3.59558707004","3.86","1","4.00777486332"
"4","1","neighbor_only","6","4","4","0.392699081699","0.95","0.373064127614","4.86848887181e-09","3.59558707004","4.36","1","4.12785491806"
"4","1","neighbor_only","6","4","4","0.392699081699","1.1","0.431968989869","4.80163235926e-09","3.59558707004","5.18","1","4.19969312107"
"4","1","neighbor_only","6","4","4","0.392699081699","1.5","0.589048622548","3.70796634531e-09","3.59558707004","6.02","1","4.43084015241"
"4","1.5","full_state","9","6","6","0.261799387799","0.5","0.1308996939","1.54286714629e-06","3.59558707004","6.34","1","4.40782831267"
"4","1.5","full_state","9","6","6","0.261799387799","0.95","0.248709418409","0.397981963542","3.59558707004","NaN","0","30.5087975316"
"4","1.5","full_state","9","6","6","0.261799387799","1.1","0.287979326579","0.496849745809","3.59558707004","NaN","0","33.4054023106"
"4","1.5","full_state","9","6","6","0.261799387799","1.5","0.392699081699","0.596819233541","3.59558707004","NaN","0","39.7775349142"
"4","1.5","neighbor_only","9","6","6","0.261799387799","0.5","0.1308996939","4.06552492641e-09","3.59558707004","3.68","1","3.97295394348"
"4","1.5","neighbor_only","9","6","6","0.261799387799","0.95","0.248709418409","3.72572604586e-09","3.59558707004","3.98","1","4.06147358136"
"4","1.5","neighbor_only","9","6","6","0.261799387799","1.1","0.287979326579","4.35829255111e-09","3.59558707004","4.1","1","4.09337840758"
"4","1.5","neighbor_only","9","6","6","0.261799387799","1.5","0.392699081699","3.76582589986e-09","3.59558707004","4.98","1","4.23343920105"
"6","0.5","full_state","7.5","3","3","0.523598775598","0.5","0.261799387799","0.00011893821","3.40444970264","13.38","1","5.50767467509"
"6","0.5","full_state","7.5","3","3","0.523598775598","0.95","0.497418836818","0.793619842608","3.40444970264","NaN","0","35.0900281648"
"6","0.5","full_state","7.5","3","3","0.523598775598","1.1","0.575958653158","0.864664242703","3.40444970264","NaN","0","35.6359816746"
