"case","i","j","tau_ij","tau_ij_over_taucrit"
"mild_edge_delays","1","2","0.188780877195","0.480726556269"
"mild_edge_delays","1","6","0.103357312631","0.26319723536"
"mild_edge_delays","2","1","0.188780877195","0.480726556269"
"mild_edge_delays","2","3","0.143085724662","0.364364805853"
"mild_edge_delays","3","2","0.143085724662","0.364364805853"
"mild_edge_delays","3","4","0.0865392749104","0.220370453977"
"mild_edge_delays","4","3","0.0865392749104","0.220370453977"
"mild_edge_delays","4","5","0.142095069391","0.36184212292"
"mild_edge_delays","5","4","0.142095069391","0.36184212292"
"mild_edge_delays","5","6","0.0457379214531","0.116470660576"
"mild_edge_delays","6","1","0.103357312631","0.26319723536"
"mild_edge_delays","6","5","0.0457379214531","0.116470660576"
"heterogeneous_edge_delays","1","2","0.156570540171","0.398703606573"
"heterogeneous_edge_delays","1","6","0.30125094069","0.767129221151"
"heterogeneous_edge_delays","2","1","0.156570540171","0.398703606573"
"heterogeneous_edge_delays","2","3","0.223918514189","0.570203814128"
"heterogeneous_edge_delays","3","2","0.223918514189","0.570203814128"
"heterogeneous_edge_delays","3","4","0.196686768978","0.500858744379"
"heterogeneous_edge_delays","4","3","0.196686768978","0.500858744379"
"heterogeneous_edge_delays","4","5","0.167661423527","0.426946309121"
"heterogeneous_edge_delays","5","4","0.167661423527","0.426946309121"
"heterogeneous_edge_delays","5","6","0.329973524291","0.840270679685"
"heterogeneous_edge_delays","6","1","0.30125094069","0.767129221151"
"heterogeneous_edge_delays","6","5","0.329973524291","0.840270679685"
"stress_edge_delays","1","2","0.424917224585","1.08204282716"
"stress_edge_delays","1","6","0.4050177895","1.03136933182"
"stress_edge_delays","2","1","0.424917224585","1.08204282716"
"stress_edge_delays","2","3","0.398415388899","1.01455645676"
"stress_edge_delays","3","2","0.398415388899","1.01455645676"
"stress_edge_delays","3","4","0.451347055108","1.14934583793"
"stress_edge_delays","4","3","0.451347055108","1.14934583793"
"stress_edge_delays","4","5","0.389946735145","0.992991207055"
"stress_edge_delays","5","4","0.389946735145","0.992991207055"
"stress_edge_delays","5","6","0.421234407939","1.07266461158"
"stress_edge_delays","6","1","0.4050177895","1.03136933182"
"stress_edge_delays","6","5","0.421234407939","1.07266461158"
