"N","complete_edge_weight","model","weighted_edge_sum","lambda_2","lambda_max","tau_crit","tau_multiplier","tau_used","final_disagreement","max_disagreement","convergence_time","practical_stable_flag","path_length_mean"
"4","0.5","full_state","3","2","2","0.785398163397","0.5","0.392699081699","1.54545906434e-05","3.59558707004","11.04","1","5.07039915873"
"4","0.5","full_state","3","2","2","0.785398163397","0.95","0.746128255228","1.04039712898","3.59558707004","NaN","0","40.0168707886"
"4","0.5","full_state","3","2","2","0.785398163397","1.1","0.863937979737","1.15289643419","3.59558707004","NaN","0","40.6129807671"
"4","0.5","full_state","3","2","2","0.785398163397","1.5","1.1780972451","1.45299391156","3.59558707004","NaN","0","41.21404042"
"4","0.5","neighbor_only","3","2","2","0.785398163397","0.5","0.392699081699","3.98782264588e-09","3.59558707004","3.6","1","3.88092233396"
"4","0.5","neighbor_only","3","2","2","0.785398163397","0.95","0.746128255228","3.41525342407e-09","3.59558707004","5.38","1","4.08925175567"
"4","0.5","neighbor_only","3","2","2","0.785398163397","1.1","0.863937979737","3.22990095354e-09","3.59558707004","6.2","1","4.21062207108"
"4","0.5","neighbor_only","3","2","2","0.785398163397","1.5","1.1780972451","2.5207820639e-08","3.59558707004","8.22","1","4.60313307995"
"4","1","full_state","6","4","4","0.392699081699","0.5","0.196349540849","1.14809259117e-05","3.59558707004","8.24","1","4.53773944187"
"4","1","full_state","6","4","4","0.392699081699","0.95","0.373064127614","0.637367295957","3.59558707004","NaN","0","35.7320605682"
"4","1","full_state","6","4","4","0.392699081699","1.1","0.431968989869","0.740410082999","3.59558707004","NaN","0","40.7837465016"
"4","1","full_state","6","4","4","0.392699081699","1.5","0.589048622548","0.890401175322","3.59558707004","NaN","0","41.1746850482"
"4","1","neighbor_only","6","4","4","0.392699081699","0.5","0.196349540849","2.29885354672e-09","3.59558707004","3.1","1","3.90584775332"
"4","1","neighbor_only","6","4","4","0.392699081699","0.95","0.373064127614","2.40361919792e-09","3.59558707004","4.22","1","4.03144287712"
"4","1","neighbor_only","6","4","4","0.392699081699","1.1","0.431968989869","2.41944454625e-09","3.59558707004","4.78","1","4.09999005805"
"4","1","neighbor_only","6","4","4","0.392699081699","1.5","0.589048622548","2.4281571573e-09","3.59558707004","6","1","4.32614073762"
"4","1.5","full_state","9","6","6","0.261799387799","0.5","0.1308996939","4.48880267325e-05","3.59558707004","8.22","1","4.47724990386"
"4","1.5","full_state","9","6","6","0.261799387799","0.95","0.248709418409","0.565425233328","3.59558707004","NaN","0","38.6040253679"
"4","1.5","full_state","9","6","6","0.261799387799","1.1","0.287979326579","0.602921008847","3.59558707004","NaN","0","39.9265136105"
"4","1.5","full_state","9","6","6","0.261799387799","1.5","0.392699081699","0.685256327453","3.59558707004","NaN","0","40.8516864488"
"4","1.5","neighbor_only","9","6","6","0.261799387799","0.5","0.1308996939","1.60089935174e-09","3.59558707004","3.06","1","3.92352421974"
"4","1.5","neighbor_only","9","6","6","0.261799387799","0.95","0.248709418409","1.61934582479e-09","3.59558707004","3.92","1","4.0190467325"
"4","1.5","neighbor_only","9","6","6","0.261799387799","1.1","0.287979326579","1.62365940542e-09","3.59558707004","4.4","1","4.07079250171"
"4","1.5","neighbor_only","9","6","6","0.261799387799","1.5","0.392699081699","3.19770412832e-09","3.59558707004","5.54","1","4.2557378633"
"6","0.5","full_state","7.5","3","3","0.523598775598","0.5","0.261799387799","1.19508913969e-05","3.40444970264","9.92","1","4.44940539538"
"6","0.5","full_state","7.5","3","3","0.523598775598","0.95","0.497418836818","0.792198229336","3.40444970264","NaN","0","39.9259227114"
"6","0.5","full_state","7.5","3","3","0.523598775598","1.1","0.575958653158","0.868098673081","3.40444970264","NaN","0","40.622020091"
"6","0.5","full_state","7.5","3","3","0.523598775598","1.5","0.785398163397","1.06877261634","3.40444970264","NaN","0","41.0257636064"
"6","0.5","neighbor_only","7.5","3","3","0.523598775598","0.5","0.261799387799","2.62063395499e-09","3.40444970264","3.2","1","3.43366517192"
"6","0.5","neighbor_only","7.5","3","3","0.523598775598","0.95","0.497418836818","3.0729709557e-09","3.40444970264","3.92","1","3.48780827259"
"6","0.5","neighbor_only","7.5","3","3","0.523598775598","1.1","0.575958653158","3.16469136414e-09","3.40444970264","4.2","1","3.53304777401"
"6","0.5","neighbor_only","7.5","3","3","0.523598775598","1.5","0.785398163397","3.1093430854e-09","3.40444970264","5.24","1","3.68724194046"
"6","1","full_state","15","6","6","0.261799387799","0.5","0.1308996939","6.54791629208e-05","3.40444970264","9.6","1","4.21053025868"
"6","1","full_state","15","6","6","0.261799387799","0.95","0.248709418409","0.565425233322","3.40444970264","NaN","0","40.4855727445"
"6","1","full_state","15","6","6","0.261799387799","1.1","0.287979326579","0.602921008855","3.40444970264","NaN","0","40.8796298504"
"6","1","full_state","15","6","6","0.261799387799","1.5","0.392699081699","0.694163856802","3.40444970264","NaN","0","41.1829358094"
"6","1","neighbor_only","15","6","6","0.261799387799","0.5","0.1308996939","1.44876186589e-09","3.40444970264","2.88","1","3.44718073153"
"6","1","neighbor_only","15","6","6","0.261799387799","0.95","0.248709418409","1.55470853681e-09","3.40444970264","3.4","1","3.49047542198"
"6","1","neighbor_only","15","6","6","0.261799387799","1.1","0.287979326579","1.37773872775e-09","3.40444970264","3.64","1","3.51812649872"
"6","1","neighbor_only","15","6","6","0.261799387799","1.5","0.392699081699","1.22708757418e-09","3.40444970264","4.36","1","3.6044033847"
"6","1.5","full_state","22.5","9","9","0.174532925199","0.5","0.0872664625997","0.000409709033118","3.40444970264","10.82","1","4.28757414086"
"6","1.5","full_state","22.5","9","9","0.174532925199","0.95","0.165806278939","0.486268607322","3.40444970264","NaN","0","39.8545828929"
"6","1.5","full_state","22.5","9","9","0.174532925199","1.1","0.191986217719","0.511266404337","3.40444970264","NaN","0","40.6898735838"
"6","1.5","full_state","22.5","9","9","0.174532925199","1.5","0.261799387799","0.577923506608","3.40444970264","NaN","0","41.1851318545"
"6","1.5","neighbor_only","22.5","9","9","0.174532925199","0.5","0.0872664625997","9.72703775319e-10","3.40444970264","2.82","1","3.46233762127"
"6","1.5","neighbor_only","22.5","9","9","0.174532925199","0.95","0.165806278939","9.13473261906e-10","3.40444970264","3.32","1","3.50417592877"
"6","1.5","neighbor_only","22.5","9","9","0.174532925199","1.1","0.191986217719","9.84978976397e-10","3.40444970264","3.44","1","3.52278247241"
"6","1.5","neighbor_only","22.5","9","9","0.174532925199","1.5","0.261799387799","6.51753017123e-10","3.40444970264","4.2","1","3.60669276621"
"8","0.5","full_state","14","4","4","0.392699081699","0.5","0.196349540849","1.71365123408e-05","4.36818913208","9.4","1","5.30113198388"
"8","0.5","full_state","14","4","4","0.392699081699","0.95","0.373064127614","0.684164398869","4.36818913208","NaN","0","39.6984350279"
"8","0.5","full_state","14","4","4","0.392699081699","1.1","0.431968989869","0.740409958953","4.36818913208","NaN","0","40.4327468266"
"8","0.5","full_state","14","4","4","0.392699081699","1.5","0.589048622548","0.890401193274","4.36818913208","NaN","0","41.1089910791"
"8","0.5","neighbor_only","14","4","4","0.392699081699","0.5","0.196349540849","2.32093510942e-09","4.36818913208","3.66","1","4.61473477847"
"8","0.5","neighbor_only","14","4","4","0.392699081699","0.95","0.373064127614","1.8014102133e-09","4.36818913208","3.48","1","4.63536626305"
"8","0.5","neighbor_only","14","4","4","0.392699081699","1.1","0.431968989869","1.880793125e-09","4.36818913208","4.2","1","4.65672317824"
"8","0.5","neighbor_only","14","4","4","0.392699081699","1.5","0.589048622548","1.93901572456e-09","4.36818913208","4.76","1","4.73407656831"
"8","1","full_state","28","8","8","0.196349540849","0.5","0.0981747704247","0.000235240875856","4.36818913208","10.3","1","5.29066173297"
"8","1","full_state","28","8","8","0.196349540849","0.95","0.186532063807","0.506052119459","4.36818913208","NaN","0","38.6614177675"
"8","1","full_state","28","8","8","0.196349540849","1.1","0.215984494934","0.534180352988","4.36818913208","NaN","0","39.5449465624"
"8","1","full_state","28","8","8","0.196349540849","1.5","0.294524311274","0.609171168646","4.36818913208","NaN","0","40.7466065594"
"8","1","neighbor_only","28","8","8","0.196349540849","0.5","0.0981747704247","9.80498772036e-10","4.36818913208","3.36","1","4.62541707239"
"8","1","neighbor_only","28","8","8","0.196349540849","0.95","0.186532063807","1.01882458194e-09","4.36818913208","3.34","1","4.64567948673"
"8","1","neighbor_only","28","8","8","0.196349540849","1.1","0.215984494934","1.04342182959e-09","4.36818913208","3.74","1","4.65915288513"
"8","1","neighbor_only","28","8","8","0.196349540849","1.5","0.294524311274","1.09432727584e-09","4.36818913208","4.2","1","4.70758524555"
"8","1.5","full_state","42","12","12","0.1308996939","0.5","0.0654498469498","0.00168504313361","4.36818913208","13.36","1","5.478110468"
"8","1.5","full_state","42","12","12","0.1308996939","0.95","0.124354709205","0.446691083231","4.36818913208","NaN","0","37.6719292243"
"8","1.5","full_state","42","12","12","0.1308996939","1.1","0.14398966329","0.465438505754","4.36818913208","NaN","0","38.9312974302"
"8","1.5","full_state","42","12","12","0.1308996939","1.5","0.196349540849","0.515432967932","4.36818913208","NaN","0","40.0890000777"
"8","1.5","neighbor_only","42","12","12","0.1308996939","0.5","0.0654498469498","6.98556224355e-10","4.36818913208","3.3","1","4.63434680565"
"8","1.5","neighbor_only","42","12","12","0.1308996939","0.95","0.124354709205","6.79801033122e-10","4.36818913208","3.3","1","4.65295463316"
"8","1.5","neighbor_only","42","12","12","0.1308996939","1.1","0.14398966329","5.9312740122e-10","4.36818913208","3.58","1","4.6636178922"
"8","1.5","neighbor_only","42","12","12","0.1308996939","1.5","0.196349540849","7.51797684814e-10","4.36818913208","3.98","1","4.70169322064"
"10","0.5","full_state","22.5","5","5","0.314159265359","0.5","0.157079632679","4.27898101349e-05","4.54527938131","10.26","1","5.55488035613"
"10","0.5","full_state","22.5","5","5","0.314159265359","0.95","0.298451302091","0.612920774436","4.54527938131","NaN","0","39.5448067663"
"10","0.5","full_state","22.5","5","5","0.314159265359","1.1","0.345575191895","0.657915431518","4.54527938131","NaN","0","40.3966000419"
"10","0.5","full_state","22.5","5","5","0.314159265359","1.5","0.471238898038","0.777897838238","4.54527938131","NaN","0","41.013030179"
"10","0.5","neighbor_only","22.5","5","5","0.314159265359","0.5","0.157079632679","1.68072223854e-09","4.54527938131","3.74","1","4.81339412629"
"10","0.5","neighbor_only","22.5","5","5","0.314159265359","0.95","0.298451302091","1.64069238556e-09","4.54527938131","3.66","1","4.82386005111"
"10","0.5","neighbor_only","22.5","5","5","0.314159265359","1.1","0.345575191895","1.67971821191e-09","4.54527938131","3.66","1","4.8346504899"
"10","0.5","neighbor_only","22.5","5","5","0.314159265359","1.5","0.471238898038","1.90104283908e-09","4.54527938131","4.54","1","4.88228723418"
"10","1","full_state","45","10","10","0.157079632679","0.5","0.0785398163397","0.000696230742347","4.54527938131","11.54","1","5.64958921442"
"10","1","full_state","45","10","10","0.157079632679","0.95","0.149225651046","0.470437047747","4.54527938131","NaN","0","38.4273725711"
"10","1","full_state","45","10","10","0.157079632679","1.1","0.172787595947","0.492935994939","4.54527938131","NaN","0","39.7517676376"
"10","1","full_state","45","10","10","0.157079632679","1.5","0.235619449019","0.552927918766","4.54527938131","NaN","0","40.6105186074"
"10","1","neighbor_only","45","10","10","0.157079632679","0.5","0.0785398163397","7.59938505661e-10","4.54527938131","3.56","1","4.82891235614"
"10","1","neighbor_only","45","10","10","0.157079632679","0.95","0.149225651046","8.0084417039e-10","4.54527938131","3.56","1","4.8383475761"
"10","1","neighbor_only","45","10","10","0.157079632679","1.1","0.172787595947","7.20141250605e-10","4.54527938131","3.56","1","4.84512214842"
"10","1","neighbor_only","45","10","10","0.157079632679","1.5","0.235619449019","6.98326643669e-10","4.54527938131","4.12","1","4.87505105734"
"10","1.5","full_state","67.5","15","15","0.10471975512","0.5","0.0523598775598","0.0045166750044","4.54527938131","17.28","1","6.01990363255"
"10","1.5","full_state","67.5","15","15","0.10471975512","0.95","0.0994837673637","0.422938417892","4.54527938131","NaN","0","38.4491079307"
"10","1.5","full_state","67.5","15","15","0.10471975512","1.1","0.115191730632","0.437937923204","4.54527938131","NaN","0","39.5632783292"
"10","1.5","full_state","67.5","15","15","0.10471975512","1.5","0.157079632679","0.477938371555","4.54527938131","NaN","0","40.4725744088"
"10","1.5","neighbor_only","67.5","15","15","0.10471975512","0.5","0.0523598775598","4.36868655678e-10","4.54527938131","3.54","1","4.84950333125"
"10","1.5","neighbor_only","67.5","15","15","0.10471975512","0.95","0.0994837673637","4.66923470734e-10","4.54527938131","3.56","1","4.85674968962"
"10","1.5","neighbor_only","67.5","15","15","0.10471975512","1.1","0.115191730632","5.10309183714e-10","4.54527938131","3.68","1","4.86207118435"
"10","1.5","neighbor_only","67.5","15","15","0.10471975512","1.5","0.157079632679","8.97831114574e-10","4.54527938131","4.04","1","4.88223855968"
